factor_raw,factor_sc,n_months,ls_mean,ls_tstat,sign,note
sofar_f1_raw,sofar_f1_sc,125,0.000318537804535991,0.169844039585798,1,keep
sofar_f2_raw,sofar_f2_sc,125,0.000483757774180882,0.207778321402879,1,keep
sofar_f3_raw,sofar_f3_sc,125,-0.011908928872824,-3.09849523572014,-1,FLIP
sofar_f4_raw,sofar_f4_sc,125,-0.00687633866734705,-2.77242671823314,-1,FLIP
sofar_f5_raw,sofar_f5_sc,125,-0.00500491669539442,-2.80551326467824,-1,FLIP
sofar_f6_raw,sofar_f6_sc,125,-0.0004067843167632,-0.145165120064313,-1,FLIP
sofar_f7_raw,sofar_f7_sc,125,-0.00133377825534187,-0.589499716090653,-1,FLIP
sofar_f8_raw,sofar_f8_sc,125,-0.00272580879833124,-1.62416213965928,-1,FLIP
sofar_f9_raw,sofar_f9_sc,125,0.000867503225863862,0.285743180545431,1,keep
sofar_f10_raw,sofar_f10_sc,125,0.000641468527563011,0.30498486485559,1,keep
sofar_f11_raw,sofar_f11_sc,125,0.0065094915819295,2.82483707942767,1,keep
sofar_f12_raw,sofar_f12_sc,125,-0.0024509165791588,-1.4488145243966,-1,FLIP
