factor_raw,factor_sc,n_months,ls_mean,ls_tstat,sign,note
sofar_f1_raw,sofar_f1_sc,197,-0.00863194432224026,-3.073485062264,-1,FLIP
sofar_f2_raw,sofar_f2_sc,197,-0.0021293502973866,-1.41794047838977,-1,FLIP
sofar_f3_raw,sofar_f3_sc,197,0.000863571394037,0.676512747519025,1,keep
sofar_f4_raw,sofar_f4_sc,197,0.00180043674181253,1.20429958021277,1,keep
sofar_f5_raw,sofar_f5_sc,197,-0.00128049264704624,-0.766306632022632,-1,FLIP
sofar_f6_raw,sofar_f6_sc,0,,,1,keep (months<60)
sofar_f7_raw,sofar_f7_sc,197,0.00767658858152838,3.38268955128453,1,keep
sofar_f8_raw,sofar_f8_sc,197,-0.00101237444404781,-0.490307887668653,-1,FLIP
sofar_f9_raw,sofar_f9_sc,197,-0.00190742443212676,-1.31284975090674,-1,FLIP
sofar_f10_raw,sofar_f10_sc,197,-0.00396982794242654,-2.6559630686604,-1,FLIP
sofar_f11_raw,sofar_f11_sc,197,0.000781415655302901,0.462421038936475,1,keep
sofar_f12_raw,sofar_f12_sc,197,0.000704808820993682,0.427195619045747,1,keep
