year,step_1_raw,step_2_locf,step_3_cs_median
2005,0.792605,,
2006,0.703599,,
2007,0.664791,,
2008,0.564606,,
2009,0.460391,0.130482,0.109241
2010,0.382448,0.110017,0.089909
2011,0.324917,0.111472,0.092255
2012,0.281436,0.102526,0.083102
2013,0.248408,0.091546,0.072621
2014,0.222476,0.082903,0.064382
2015,0.201151,0.075872,0.057549
2016,0.183335060346365,0.0699389316867255,0.0518484418661933
2017,0.168401999814832,0.0648788692405024,0.047098108199858
2018,0.155601692524683,0.0605638928067701,0.0430499294781382
2019,0.144413832464264,0.0567795159156355,0.0395911484681039
2020,0.134578426613449,0.0534436034351534,0.0365837843020921
2021,0.126051258082106,0.0505523097296876,0.0339669927330596
2022,0.118580231851856,0.0479824320044854,0.0316913348873188
2023,0.111976456190448,0.0456431325699078,0.0296457744495275
2024,0.106039296417413,0.0435594501780818,0.0278029895883623
2025,0.100571330707313,0.0416158588799452,0.0261366672375407
