year,n_obs,n_stocks,n_vars,n_dropped_raw,step_1_raw,step_2_locf,step_3_cs_median
2005,8243,822,0,25,0.792605,,
2006,16679,888,0,25,0.703599,,
2007,25350,954,0,25,0.664791,,
2008,34432,1010,0,25,0.564606,,
2009,43610,1054,21,4,0.460391,0.130482,0.109241
2010,52987,1122,21,4,0.382448,0.110017,0.089909
2011,62991,1192,24,1,0.324917,0.111472,0.092255
2012,73458,1255,25,0,0.281436,0.102526,0.083102
2013,84060,1311,25,0,0.248408,0.091546,0.072621
2014,94816,1359,25,0,0.222476,0.082903,0.064382
2015,106075,1424,25,0,0.201151,0.075872,0.057549
