model,n_months,ann_ret_gross,sharpe_gross,ann_ret_net,sharpe_net,tstat_net,tstat_nw_net,maxdd_net,avg_turnover_ls
pred_xgb_H,119,0.140901330781758,1.46939800505181,0.136073542149999,1.42460788878013,4.48619557435339,5.54082495552872,-0.0876502385173704,1.05797215642744
pred_xgb_S,119,0.0766949859697992,1.05534033223819,0.0758727109614086,1.04384911767899,3.28715805163348,3.67927164031113,-0.072303225381762,0.84735517620936
pred_en_H,119,0.131001116867724,1.07316434727827,0.12527702165684,1.03252807935419,3.25150726489433,4.2753397631132,-0.166504515838101,0.82470991349581
pred_xgb_M,119,0.110583142433107,1.02404639080599,0.106051246813068,0.985559137837209,3.10359859527018,3.79973281308088,-0.144825164539331,1.2317555643609
pred_en_M,119,0.115893540991333,0.807352074020346,0.106792752142724,0.752826247124264,2.37070551462262,3.22408114532589,-0.183829059846111,0.901393785543669
pred_en_S,119,0.0642847926460486,0.724674512671948,0.063935570916327,0.718839710085461,2.2636793965926,2.86424692853773,-0.143783659878778,0.473633611927552
pred_rf_H,119,0.0521319486837726,0.671704273962558,0.0514812696600386,0.664343116086973,2.092065592725,2.46846325492813,-0.136673756664776,1.25797394114426
pred_ols3,119,0.0761986645523054,0.649411268176677,0.0771222005399734,0.655963647573707,2.06567802681602,2.72016746465988,-0.140646130991334,0.454289898401713
pred_sofar_comp_main,119,0.05049787480533,0.631456354748251,0.0495613630022389,0.620590721605455,1.95428606754041,2.29993482914222,-0.150133427765605,0.520851311051843
pred_sofar_comp_rob,119,0.05049787480533,0.631456354748251,0.0495613630022389,0.620590721605455,1.95428606754041,2.29993482914222,-0.150133427765605,0.520851311051843
pred_rf_S,119,0.0378652970469613,0.586839194037109,0.0396077773465176,0.61058059661104,1.92276344380489,2.15484383823862,-0.103605036934468,1.0518015544508
pred_rf_M,119,0.0315432752332778,0.47545630779553,0.0267763293008683,0.409506389677857,1.28956589915794,1.65810804577741,-0.122290962047972,1.62456425958235
