year,model,r2_oos
2016,pred_en_S,0.794
2016,pred_rf_S,-4.844
2016,pred_xgb_S,-0.447
2016,pred_en_M,1.387
2016,pred_rf_M,-3.505
2016,pred_xgb_M,0.247
2016,pred_en_H,1.234
2016,pred_rf_H,-1.775
2016,pred_xgb_H,0.375
2016,pred_ols3,1.09
2016,pred_sofar_comp_main,-1136.255
2016,pred_sofar_comp_rob,-1136.255
2017,pred_en_S,1.473
2017,pred_rf_S,0.629
2017,pred_xgb_S,1.043
2017,pred_en_M,1.335
2017,pred_rf_M,-1.86
2017,pred_xgb_M,0.386
2017,pred_en_H,1.267
2017,pred_rf_H,0.485
2017,pred_xgb_H,0.281
2017,pred_ols3,1.477
2017,pred_sofar_comp_main,-1093.751
2017,pred_sofar_comp_rob,-1093.751
2018,pred_en_S,-1.557
2018,pred_rf_S,-2.925
2018,pred_xgb_S,-1.497
2018,pred_en_M,-1.292
2018,pred_rf_M,-4.135
2018,pred_xgb_M,-2.483
2018,pred_en_H,-1.257
2018,pred_rf_H,-2.778
2018,pred_xgb_H,-1.927
2018,pred_ols3,-1.593
2018,pred_sofar_comp_main,-690.354
2018,pred_sofar_comp_rob,-690.354
2019,pred_en_S,0.9
2019,pred_rf_S,-1.652
2019,pred_xgb_S,0.306
2019,pred_en_M,0.767
2019,pred_rf_M,-4.219
2019,pred_xgb_M,-0.783
2019,pred_en_H,0.958
2019,pred_rf_H,-0.741
2019,pred_xgb_H,-0.081
2019,pred_ols3,0.702
2019,pred_sofar_comp_main,-1872.22
2019,pred_sofar_comp_rob,-1872.22
2020,pred_en_S,0.849
2020,pred_rf_S,1.031
2020,pred_xgb_S,0.837
2020,pred_en_M,0.837
2020,pred_rf_M,-0.781
2020,pred_xgb_M,0.428
2020,pred_en_H,0.743
2020,pred_rf_H,0.942
2020,pred_xgb_H,0.704
2020,pred_ols3,0.939
2020,pred_sofar_comp_main,-1006.612
2020,pred_sofar_comp_rob,-1006.612
2021,pred_en_S,1.412
2021,pred_rf_S,-0.511
2021,pred_xgb_S,1.244
2021,pred_en_M,1.545
2021,pred_rf_M,0.137
2021,pred_xgb_M,1.503
2021,pred_en_H,1.489
2021,pred_rf_H,0.37
2021,pred_xgb_H,1.3
2021,pred_ols3,1.506
2021,pred_sofar_comp_main,-764.995
2021,pred_sofar_comp_rob,-764.995
2022,pred_en_S,-0.787
2022,pred_rf_S,-2.166
2022,pred_xgb_S,-1.078
2022,pred_en_M,-0.354
2022,pred_rf_M,-2.436
2022,pred_xgb_M,-0.305
2022,pred_en_H,-0.44
2022,pred_rf_H,-1.34
2022,pred_xgb_H,-0.734
2022,pred_ols3,-0.635
2022,pred_sofar_comp_main,-718.4
2022,pred_sofar_comp_rob,-718.4
2023,pred_en_S,1.732
2023,pred_rf_S,0.638
2023,pred_xgb_S,1.606
2023,pred_en_M,1.818
2023,pred_rf_M,0.074
2023,pred_xgb_M,1.539
2023,pred_en_H,1.853
2023,pred_rf_H,1.225
2023,pred_xgb_H,1.554
2023,pred_ols3,1.602
2023,pred_sofar_comp_main,-1429.849
2023,pred_sofar_comp_rob,-1429.849
2024,pred_en_S,0.032
2024,pred_rf_S,-1.797
2024,pred_xgb_S,-0.23
2024,pred_en_M,-0.037
2024,pred_rf_M,-2.14
2024,pred_xgb_M,-0.258
2024,pred_en_H,0.136
2024,pred_rf_H,-0.765
2024,pred_xgb_H,-0.008
2024,pred_ols3,-0.121
2024,pred_sofar_comp_main,-1078.309
2024,pred_sofar_comp_rob,-1078.309
2025,pred_en_S,0.349
2025,pred_rf_S,-1.661
2025,pred_xgb_S,0.006
2025,pred_en_M,0.121
2025,pred_rf_M,-1.83
2025,pred_xgb_M,-0.233
2025,pred_en_H,0.063
2025,pred_rf_H,-1.019
2025,pred_xgb_H,-0.172
2025,pred_ols3,0.341
2025,pred_sofar_comp_main,-1127.571
2025,pred_sofar_comp_rob,-1127.571
