F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,var
-0.519558379629345,0,0,0,0,0,0,0,0,0,0,0,A_roa
-0.523171512342807,0,0,0,0,0,0,0,0,0,0,0,A_roe
-0.251935703819367,0.42746315148719,0,-0.311009123824301,0.260119935736014,0,0,-0.266812285004057,0,0,0.185128269138189,0,A_gpm
0,-0.37033092553586,0,0,0,0,0,0,0,0.460449638253699,0.226156552786881,0,A_opm
0,-0.390353399901919,0,0,0,0,0,0,0,0.453425681443165,0.235243999027424,0,A_npm
0,0.355990634656761,0.204522390960489,0.180676701840428,0,-0.362019179736604,-0.203123847105728,0,0,0.265639046841892,0,0,B_rev_yoy
-0.522604200624225,0,0,0,0,0,0,0,0,0,0,0,B_eps
0,0.352783280277515,0,0.186253562274228,-0.189302190622895,-0.304185421975068,-0.23281065538285,0,0,0.294604001125712,0,0,B_gp_yoy
0,0,-0.292249423533528,0,-0.249649937234407,0,0,0.278340037458966,0,0.258393142776909,0,0.300208014753057,B_op_yoy
0,0,-0.382265129416256,0,-0.234833754627973,0.253112926690441,0,0.332788136221066,0,0.20078253081283,0,0.358671985244437,B_np_yoy
0,0,0,0.423537636318797,0,0.262060509797318,0.232846824669901,0,0,0,0,0,C_ocf
0,0,-0.379064795939156,0.178004665727515,0.20442392177765,0,-0.529558803627053,-0.312166948588757,-0.452565664035041,0,0,0.23338134107311,C_fcf
0,0,0,0,0.321445948926878,0,-0.187690655132888,0.245342039821126,0.405982828215703,0,0,0,D_cr
0,0,0,0,0.308185090709754,0,-0.246627996627999,0.20527539950879,0.372799202203398,-0.172048741120949,0,0,D_qr
0,0,0,0,0,0,0.394469309516522,0,-0.247850798730998,0,-0.18797297361711,-0.183665637723133,D_dr
0,0,-0.335456691657796,0,-0.366788824116197,0,0,-0.571057262261008,0.511703306576915,0,-0.230519817214075,-0.228835458207248,D_icr
0,0,0,-0.354353760440387,0,0.53263570286886,-0.425144392181169,0,-0.173263309817571,0,0,-0.58359923268693,E_itr
0,0,0,0,0.493653218415391,0,0,0,0,0.391982934094341,-0.715645265789105,0,E_art
-0.23379442652854,-0.293305215881204,0,0.252776773785472,0,0,-0.176821454017165,0.309411518880019,0,-0.210600726497358,-0.412525458977318,0,E_tat
0,0,0,0,0,0,0,0,0,0,0,0,F_ta
0,0,0,0,0,0,0,0,0,0,0,0,F_te
0,0,0,0,0,0,0,0,0,0,0,0,F_ca
0,0,0.412753275411241,-0.172062305869004,-0.200769425298451,0,-0.239613891633197,0,0,0,0,0.324132976238458,G_cfi
0,-0.2254559514774,-0.383464189702776,-0.449281181299768,0,-0.549396962114698,0,0,0,0,0,-0.274283055463262,G_cff
0,0,-0.26745354661943,0.333426873404256,0,0,0,0,-0.193406765102094,0,0,0,G_ebt
