variable,n,mean,median,sd,min,max,na_rate
A_roa,215619,1.64523613410692,1.41,2.34113118910701,-6.16,10.24,0.0768
A_roe,215617,2.84451314135713,2.55,4.16810541380602,-11.1,18.1,0.0768
A_gpm,210326,26.0250190180957,22.92,18.2467396978791,-14.65,89.605,0.0995
A_opm,210517,1.1661845627669,7.43,56.4615097719692,-493.202400000001,46.95,0.0987
A_npm,215099,3.95948577166793,7.25,39.3182801427429,-312.87,65.57,0.079
B_rev_yoy,200349,14.0978493748409,5.13,55.8563469673132,-75.49,383.643599999998,0.1422
B_eps,215739,0.943409675580214,0.58,1.44203804287858,-1.6462,8.07619999999995,0.0763
B_gp_yoy,194542,40.5201070719947,6.89,178.78388422517,-154.8,1388.09,0.1671
B_op_yoy,196572,72.6063502431679,8.88,379.113912629409,-844.99,2688.39,0.1584
B_np_yoy,200980,77.5461943974525,9.53,404.101814129481,-998.02,2774.94,0.1395
C_ocf,215844,706450.415735439,106530,3133744.57958119,-6647840,22125506,0.0759
C_fcf,210198,227465.054520024,21409,1663689.48340129,-5359830,10879977,0.1
D_cr,210237,261.065324895237,185.99,262.258274177904,54.36,1984.04,0.0999
D_qr,209950,184.6391865206,124.87,227.166751156078,6.9,1709.42,0.1011
D_dr,215861,43.9092802312599,43.43,18.9356891947367,5.25,93.69,0.0758
D_icr,197676,400.081536769765,19.38,1981.41697094527,-515.7475,16737.83,0.1536
E_itr,206602,3.15353849430306,1.17,10.9329141946991,0,95.83,0.1154
E_art,209632,3.26909717981988,1.46,7.63830544806453,0.14,60.63,0.1024
E_tat,210935,0.22334913598976,0.19,0.167718680247787,0,0.96,0.0969
F_ta,215861,65019675.2672413,7615277,259677346.443879,766918,2121038129.99999,0.0758
F_te,215822,15596057.17197,3943505,40553321.0095729,496658,282414284.100001,0.0759
F_ca,210237,15202054.0454651,4094593,36976598.3688809,406239.48,249692806,0.0999
G_cfi,215844,-431326.577680732,-56399,1672344.76470842,-12301035,2363344.12,0.0759
G_cff,215844,-141538.382249587,-8712,1937836.57733351,-11631458.39,7989790.47000007,0.0759
G_ebt,215861,540801.81036871,115859,1584777.26983789,-913022,11155169,0.0758
