ym,N
2005-01-01,668
2005-02-01,681
2005-03-01,679
2005-04-01,678
2005-05-01,680
2005-06-01,688
2005-07-01,690
2005-08-01,691
2005-09-01,690
2005-10-01,692
2005-11-01,700
2005-12-01,706
2006-01-01,699
2006-02-01,702
2006-03-01,699
2006-04-01,703
2006-05-01,704
2006-06-01,695
2006-07-01,697
2006-08-01,702
2006-09-01,704
2006-10-01,711
2006-11-01,712
2006-12-01,708
2007-01-01,704
2007-02-01,717
2007-03-01,710
2007-04-01,707
2007-05-01,711
2007-06-01,717
2007-07-01,715
2007-08-01,722
2007-09-01,734
2007-10-01,742
2007-11-01,743
2007-12-01,749
2008-01-01,752
2008-02-01,756
2008-03-01,762
2008-04-01,751
2008-05-01,758
2008-06-01,747
2008-07-01,754
2008-08-01,750
2008-09-01,754
2008-10-01,770
2008-11-01,760
2008-12-01,768
2009-01-01,760
2009-02-01,759
2009-03-01,758
2009-04-01,757
2009-05-01,773
2009-06-01,769
2009-07-01,766
2009-08-01,760
2009-09-01,769
2009-10-01,762
2009-11-01,768
2009-12-01,777
2010-01-01,767
2010-02-01,780
2010-03-01,773
2010-04-01,767
2010-05-01,765
2010-06-01,773
2010-07-01,777
2010-08-01,772
2010-09-01,787
2010-10-01,797
2010-11-01,809
2010-12-01,810
2011-01-01,818
2011-02-01,826
2011-03-01,817
2011-04-01,824
2011-05-01,825
2011-06-01,823
2011-07-01,848
2011-08-01,843
2011-09-01,854
2011-10-01,839
2011-11-01,831
2011-12-01,856
2012-01-01,858
2012-02-01,853
2012-03-01,854
2012-04-01,867
2012-05-01,878
2012-06-01,870
2012-07-01,878
2012-08-01,878
2012-09-01,874
2012-10-01,875
2012-11-01,888
2012-12-01,894
2013-01-01,879
2013-02-01,901
2013-03-01,880
2013-04-01,872
2013-05-01,872
2013-06-01,868
2013-07-01,882
2013-08-01,879
2013-09-01,884
2013-10-01,884
2013-11-01,902
2013-12-01,899
2014-01-01,881
2014-02-01,878
2014-03-01,868
2014-04-01,891
2014-05-01,901
2014-06-01,892
2014-07-01,894
2014-08-01,900
2014-09-01,903
2014-10-01,914
2014-11-01,910
2014-12-01,924
2015-01-01,911
2015-02-01,921
2015-03-01,911
2015-04-01,927
2015-05-01,939
2015-06-01,939
2015-07-01,943
2015-08-01,951
2015-09-01,956
2015-10-01,948
2015-11-01,956
2015-12-01,957
2016-01-01,970
2016-02-01,965
2016-03-01,966
2016-04-01,975
2016-05-01,985
2016-06-01,973
2016-07-01,962
2016-08-01,972
2016-09-01,967
2016-10-01,961
2016-11-01,984
2016-12-01,982
2017-01-01,980
2017-02-01,990
2017-03-01,982
2017-04-01,987
2017-05-01,974
2017-06-01,981
2017-07-01,994
2017-08-01,994
2017-09-01,983
2017-10-01,995
2017-11-01,1001
2017-12-01,1014
2018-01-01,1013
2018-02-01,1013
2018-03-01,997
2018-04-01,1006
2018-05-01,1015
2018-06-01,996
2018-07-01,1026
2018-08-01,1011
2018-09-01,1024
2018-10-01,1028
2018-11-01,1027
2018-12-01,1032
2019-01-01,1026
2019-02-01,1019
2019-03-01,1006
2019-04-01,1022
2019-05-01,1035
2019-06-01,1042
2019-07-01,1041
2019-08-01,1041
2019-09-01,1032
2019-10-01,1037
2019-11-01,1045
2019-12-01,1042
2020-01-01,1051
2020-02-01,1062
2020-03-01,1064
2020-04-01,1060
2020-05-01,1052
2020-06-01,1064
2020-07-01,1046
2020-08-01,1063
2020-09-01,1026
2020-10-01,1043
2020-11-01,1078
2020-12-01,1066
2021-01-01,1068
2021-02-01,1071
2021-03-01,1069
2021-04-01,1058
2021-05-01,1083
2021-06-01,1083
2021-07-01,1077
2021-08-01,1088
2021-09-01,1066
2021-10-01,1068
2021-11-01,1072
2021-12-01,1052
2022-01-01,1063
2022-02-01,1084
2022-03-01,1090
2022-04-01,1075
2022-05-01,1071
2022-06-01,1071
2022-07-01,1079
2022-08-01,1057
2022-09-01,1067
2022-10-01,1089
2022-11-01,1081
2022-12-01,1078
2023-01-01,1098
2023-02-01,1094
2023-03-01,1100
2023-04-01,1101
2023-05-01,1101
2023-06-01,1100
2023-07-01,1108
2023-08-01,1123
2023-09-01,1117
2023-10-01,1108
2023-11-01,1120
2023-12-01,1121
2024-01-01,1114
2024-02-01,1122
2024-03-01,1141
2024-04-01,1147
2024-05-01,1156
2024-06-01,1143
2024-07-01,1120
2024-08-01,1146
2024-09-01,1133
2024-10-01,1132
2024-11-01,1144
2024-12-01,1150
2025-01-01,1160
2025-02-01,1162
2025-03-01,1162
2025-04-01,1174
2025-05-01,1167
2025-06-01,1167
2025-07-01,1170
2025-08-01,1162
2025-09-01,1172
2025-10-01,1169
2025-11-01,1174
2025-12-01,1159
