Feature,Gain,Cover,Frequency,Gain_pct,rank,feature_type
z_mom_1m,0.102105620843274,0.116590864162214,0.0992858788297627,10.211,1,市場面
z_mom_12m,0.0943060573337981,0.0772167841685665,0.0884588804422944,9.431,2,市場面
z_mom_6m,0.0895144047572205,0.0933435334912533,0.0826998387468325,8.951,3,市場面
z_ret_vol,0.0860145663139181,0.10743330498951,0.0843123704215619,8.601,4,市場面
sofar_f1_sc,0.0781563723063449,0.0810142646660496,0.0702603086846349,7.816,5,SOFAR因子
z_log_turnover,0.0742235472620979,0.0666063059695537,0.0730246486984566,7.422,6,市場面
sofar_f11_sc,0.0534201688838957,0.0793353358025676,0.0598940336328035,5.342,7,SOFAR因子
sofar_f7_sc,0.0506105921867796,0.0476547515515297,0.0516010135913384,5.061,8,SOFAR因子
sofar_f8_sc,0.0491028652222796,0.0336195397142049,0.0483759502418798,4.91,9,SOFAR因子
sofar_f9_sc,0.0474911814925693,0.044062595663249,0.0428472702142364,4.749,10,SOFAR因子
sofar_f4_sc,0.0437901995906568,0.0543914795913943,0.0497581202487906,4.379,11,SOFAR因子
sofar_f6_sc,0.0430084316789993,0.0378185840604681,0.0451508868924211,4.301,12,SOFAR因子
sofar_f5_sc,0.0421000655973707,0.0413099184396643,0.0446901635567842,4.21,13,SOFAR因子
sofar_f12_sc,0.0403242487557688,0.0391594754977687,0.0435383552176918,4.032,14,SOFAR因子
sofar_f3_sc,0.0372576235137054,0.0334988395112677,0.041234738539507,3.726,15,SOFAR因子
sofar_f10_sc,0.0356550720862719,0.019856395556517,0.0361667818475006,3.566,16,SOFAR因子
sofar_f2_sc,0.0329189821750497,0.0270880271642209,0.0387007601935038,3.292,17,SOFAR因子
