variable,n,mean,median,sd,min,max,na_rate
A_roa,215619,1.645,1.41,2.341,-6.16,10.24,7.7%
A_roe,215617,2.845,2.55,4.168,-11.1,18.1,7.7%
A_gpm,210326,26.025,22.92,18.247,-14.65,89.605,10%
A_opm,210517,1.166,7.43,56.462,-493.202,46.95,9.9%
A_npm,215099,3.959,7.25,39.318,-312.87,65.57,7.9%
B_rev_yoy,200349,14.098,5.13,55.856,-75.49,383.644,14.2%
B_eps,215739,0.943,0.58,1.442,-1.646,8.076,7.6%
B_gp_yoy,194542,40.52,6.89,178.784,-154.8,1388.09,16.7%
B_op_yoy,196572,72.606,8.88,379.114,-844.99,2688.39,15.8%
B_np_yoy,200980,77.546,9.53,404.102,-998.02,2774.94,14%
C_ocf,215844,706450.416,106530,3133744.58,-6647840,22125506,7.6%
C_fcf,210198,227465.055,21409,1663689.483,-5359830,10879977,10%
D_cr,210237,261.065,185.99,262.258,54.36,1984.04,10%
D_qr,209950,184.639,124.87,227.167,6.9,1709.42,10.1%
D_dr,215861,43.909,43.43,18.936,5.25,93.69,7.6%
D_icr,197676,400.082,19.38,1981.417,-515.747,16737.83,15.4%
E_itr,206602,3.154,1.17,10.933,0,95.83,11.5%
E_art,209632,3.269,1.46,7.638,0.14,60.63,10.2%
E_tat,210935,0.223,0.19,0.168,0,0.96,9.7%
F_ta,215861,65019675.267,7615277,259677346.444,766918,2121038130,7.6%
F_te,215822,15596057.172,3943505,40553321.01,496658,282414284.1,7.6%
F_ca,210237,15202054.045,4094593,36976598.369,406239.48,249692806,10%
G_cfi,215844,-431326.578,-56399,1672344.765,-12301035,2363344.12,7.6%
G_cff,215844,-141538.382,-8712,1937836.577,-11631458.39,7989790.47,7.6%
G_ebt,215861,540801.81,115859,1584777.27,-913022,11155169,7.6%
