model,ann_ret_gross_pct,sharpe_gross,ann_ret_net_pct,sharpe_net,tstat_nw_net,sig,maxdd_net_pct,avg_turnover
pred_en_S,6.428,0.725,6.394,0.719,2.864,***,-14.4,0.4736
pred_rf_S,3.787,0.587,3.961,0.611,2.155,**,-10.4,1.0518
pred_xgb_S,7.669,1.055,7.587,1.044,3.679,***,-7.2,0.8474
pred_en_M,11.589,0.807,10.679,0.753,3.224,***,-18.4,0.9014
pred_rf_M,3.154,0.475,2.678,0.41,1.658,*,-12.2,1.6246
pred_xgb_M,11.058,1.024,10.605,0.986,3.8,***,-14.5,1.2318
pred_en_H,13.1,1.073,12.528,1.033,4.275,***,-16.7,0.8247
pred_rf_H,5.213,0.672,5.148,0.664,2.468,**,-13.7,1.258
pred_xgb_H,14.09,1.469,13.607,1.425,5.541,***,-8.8,1.058
pred_ols3,7.62,0.649,7.712,0.656,2.72,***,-14.1,0.4543
pred_sofar_comp_main,5.05,0.631,4.956,0.621,2.3,**,-15,0.5209
