model,ann_ret_gross_pct,sharpe_gross,ann_ret_net_pct,sharpe_net,maxdd_net_pct
pred_xgb_H,14.09,1.469,13.607,1.425,-8.765
pred_xgb_S,7.669,1.055,7.587,1.044,-7.23
pred_en_H,13.1,1.073,12.528,1.033,-16.65
pred_xgb_M,11.058,1.024,10.605,0.986,-14.483
pred_en_M,11.589,0.807,10.679,0.753,-18.383
pred_en_S,6.428,0.725,6.394,0.719,-14.378
pred_rf_H,5.213,0.672,5.148,0.664,-13.667
pred_ols3,7.62,0.649,7.712,0.656,-14.065
pred_sofar_comp_main,5.05,0.631,4.956,0.621,-15.013
pred_rf_S,3.787,0.587,3.961,0.611,-10.361
pred_rf_M,3.154,0.475,2.678,0.41,-12.229
